transition_id,before_state,after_state,n,G,I,E,Pi,H,evidence_level
TR-001,,Passage au régime électrofaible brisé,"champs, particules et noyaux pertinents au régime primordial — cas: Passage au régime électrofaible brisé","état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Passage au régime électrofaible brisé","interactions fondamentales, réactions et découplages thermiques",température et densité de l'Univers en expansion — fenêtre: ~10⁻¹² s; physique des particules,persistance par stabilité des particules/noyaux et refroidissement cosmique,héritage/dépendance au chemin depuis: antécédent historique non résolu,Inféré; mécanisme standard
TR-002,,Asymétrie matière-antimatière,"champs, particules et noyaux pertinents au régime primordial — cas: Asymétrie matière-antimatière","état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Asymétrie matière-antimatière","interactions fondamentales, réactions et découplages thermiques",température et densité de l'Univers en expansion — fenêtre: Univers primordial; date et mécanisme inconnus,persistance par stabilité des particules/noyaux et refroidissement cosmique,héritage/dépendance au chemin depuis: antécédent historique non résolu,Asymétrie observée; mécanisme hypothétique
TR-003,,Confinement des quarks,"champs, particules et noyaux pertinents au régime primordial — cas: Confinement des quarks","état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Confinement des quarks","interactions fondamentales, réactions et découplages thermiques",température et densité de l'Univers en expansion — fenêtre: ~10⁻⁵ s; QCD et abondance des hadrons,persistance par stabilité des particules/noyaux et refroidissement cosmique,héritage/dépendance au chemin depuis: antécédent historique non résolu,Inféré; appuyé expérimentalement
TR-004,TR-001 Passage au régime électrofaible brisé ; TR-002 Asymétrie matière-antimatière ; TR-003 Confinement des quarks,Nucléosynthèse primordiale,"champs, particules et noyaux pertinents au régime primordial — cas: Nucléosynthèse primordiale","état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Nucléosynthèse primordiale","interactions fondamentales, réactions et découplages thermiques",température et densité de l'Univers en expansion — fenêtre: ~10 s à 20 min; abondances légères,persistance par stabilité des particules/noyaux et refroidissement cosmique,héritage/dépendance au chemin depuis: TR-001 Passage au régime électrofaible brisé ; TR-002 Asymétrie matière-antimatière ; TR-003 Confinement des quarks,Inféré à partir d'archives
TR-005,TR-004 Nucléosynthèse primordiale,Recombinaison cosmologique (He puis H),"champs, particules et noyaux pertinents au régime primordial — cas: Recombinaison cosmologique (He puis H)","état collectif fixé par symétries, phases et expansion cosmique — état postérieur: Recombinaison cosmologique (He puis H)","interactions fondamentales, réactions et découplages thermiques",température et densité de l'Univers en expansion — fenêtre: L’hélium se neutralise avant l’hydrogène; transparence cosmique vers 380 000 ans,persistance par stabilité des particules/noyaux et refroidissement cosmique,héritage/dépendance au chemin depuis: TR-004 Nucléosynthèse primordiale,Inféré à partir d’archives et de modèles
TR-006,TR-012 Formation de H₂ et HD,Effondrement des premiers nuages stellaires,"gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Effondrement des premiers nuages stellaires","nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Effondrement des premiers nuages stellaires","gravitation, refroidissement radiatif, fusion et réactions neutroniques","densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Quelques centaines de Ma; galaxies très anciennes",maintien gravitationnel et signatures nucléosynthétiques conservées,héritage/dépendance au chemin depuis: TR-012 Formation de H₂ et HD,Reconstruit et modélisé
TR-007,TR-006 Effondrement des premiers nuages stellaires,Nucléosynthèse stellaire,"gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Nucléosynthèse stellaire","nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Nucléosynthèse stellaire","gravitation, refroidissement radiatif, fusion et réactions neutroniques","densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Premières étoiles puis processus continu",maintien gravitationnel et signatures nucléosynthétiques conservées,héritage/dépendance au chemin depuis: TR-006 Effondrement des premiers nuages stellaires,Observé et modélisé
TR-008,TR-006 Effondrement des premiers nuages stellaires,"Étoiles AGB, processus s et poussières","gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Étoiles AGB, processus s et poussières","nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Étoiles AGB, processus s et poussières","gravitation, refroidissement radiatif, fusion et réactions neutroniques","densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Après les premières générations stellaires",maintien gravitationnel et signatures nucléosynthétiques conservées,héritage/dépendance au chemin depuis: TR-006 Effondrement des premiers nuages stellaires,Observé; histoire inférée
TR-009,TR-007 Nucléosynthèse stellaire,Explosions stellaires et enrichissement,"gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Explosions stellaires et enrichissement","nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Explosions stellaires et enrichissement","gravitation, refroidissement radiatif, fusion et réactions neutroniques","densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Premières étoiles massives puis processus continu",maintien gravitationnel et signatures nucléosynthétiques conservées,héritage/dépendance au chemin depuis: TR-007 Nucléosynthèse stellaire,Observé
TR-010,TR-006 Effondrement des premiers nuages stellaires,Matière neutronique et fusions d'étoiles à neutrons,"gaz H/He, étoiles, noyaux synthétisés et éjecta — cas: Matière neutronique et fusions d'étoiles à neutrons","nuages auto-gravitants, intérieurs stellaires et résidus compacts — état postérieur: Matière neutronique et fusions d'étoiles à neutrons","gravitation, refroidissement radiatif, fusion et réactions neutroniques","densité, métallicité, rayonnement et potentiel gravitationnel — fenêtre: Après les premières étoiles massives; encore actif",maintien gravitationnel et signatures nucléosynthétiques conservées,héritage/dépendance au chemin depuis: TR-006 Effondrement des premiers nuages stellaires,Observé; phases internes hypothétiques
