Sévérité,Domaine,Constat,Action
CRITIQUE,Emballage ZIP et manifeste,"Trois chemins accentués sont extraits sous des noms corrompus. Le vérificateur signale 3 fichiers absents et 3 fichiers non listés, bien que les données compressées passent le test d’intégrité.","Reconstruire l’archive avec des noms UTF-8 normalisés, puis régénérer le manifeste après la dernière écriture."
MAJEURE,Documents canoniques concurrents,"Le dossier scientifique canonique décrit 39 transitions globales et 22 transitions matérielles détaillées, tandis que le document LE_POSSIBLE_A_UNE_HISTOIRE à la racine conserve 38 et 21.","Mettre à jour ce document depuis les résultats canoniques, ou le déplacer dans une archive historique clairement marquée."
MAJEURE,Références actives cassées,"Plusieurs documents actifs pointent vers des chemins absents ou déplacés, notamment banc_synthetique/README.md, PROTOCOLE_INFORMATION_GENEALOGIQUE.md et un chemin erroné vers cloture_arbre.json.",Corriger les chemins et ajouter un test automatique des liens internes.
MAJEURE,Preuves de transition incomplètes,"REFERENCES_TRANSITIONS.csv contient 39 transitions mais aucune référence primaire identifiable renseignée. Les quatre axes de preuve existent formellement, sans sources indépendantes par axe.","Associer à chaque transition quatre références ou statuts distincts: mécanisme, occurrence naturelle, transition historique, rôle causal."
MAJEURE,Conditions non opérationnelles,"Les 69 conditions inventoriées ont des unités, plages et durées largement vides. Seulement 47 relations sur 111 portent un identifiant de condition.","Normaliser les conditions avec unité, domaine, durée, réservoir, source et identifiant stable."
MAJEURE,Mélange de niveaux ontologiques,"Entités, classes de processus et événements historiques sont parfois forcés dans le même registre de transitions.","Séparer trois couches: registre des entités et architectures, registre des mécanismes, registre des événements historiques."
MODEREE,Dernier inventaire non intégré,"L’archive contient une itération antérieure du criblage. Elle n’intègre pas le rapport de 66 familles, 47 liens candidats et 29 cas de preuve produit ensuite.",Choisir un générateur canonique unique et reconstruire les documents et annexes depuis celui-ci.
MODEREE,Sources URL génériques,"La présence d’une URL sur chaque ligne ne garantit pas la pertinence de la preuve. Plusieurs phases, transformations et architectures biologiques renvoient vers des pages génériques.",Ajouter une colonne de rôle de la source et remplacer les pages générales par des références propres à l’entité ou au mécanisme.
MODEREE,Copies miroir,Vingt-sept groupes de doublons exacts ont été détectés. Ils sont cohérents aujourd’hui mais exposés à une dérive future.,"Générer les annexes et copies à partir d’une seule source, puis tester leur parité."
MINEURE,Comptages historiques dispersés,Des documents de contrôle plus anciens conservent des nombres de tests différents du registre actuel.,Conserver un seul fichier de statut vivant et marquer les autres comme historiques.
