/* DATA DESCRIPTION:
Citation:	Channell, James E T; Hodell, David A; Xuang, Chuang; Mazaud, Alain; Stoner, Joseph S (2008): Paleointensity of IODP Site 303-U1308 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.808945, 
	In supplement to: Channell, JET et al. (2008): Age calibrated relative paleointensity for the last 1.5 Myr from IODP Site U1308 (North Atlantic). Earth and Planetary Science Letters, 274, 59-71, https://doi.org/10.1016/j.epsl.2008.07.005
Related to:	Channell, James E T; Hodell, David A (2013): Magnetic signatures of Heinrich-like detrital layers in the Quaternary of the North Atlantic. Earth and Planetary Science Letters, 369-370, 260-270, https://doi.org/10.1016/j.epsl.2013.03.034
	Channell, James E T; Hodell, David A; Romero, Oscar E; Hillaire-Marcel, Claude; de Vernal, Anne; Stoner, Joseph S; Mazaud, Alain; Röhl, Ursula (2012): A 750-kyr detrital-layer stratigraphy for the North Atlantic (IODP Sites U1302–U1303, Orphan Knoll, Labrador Sea). Earth and Planetary Science Letters, 317-318, 218-230, https://doi.org/10.1016/j.epsl.2011.11.029
	Hodell, David A; Channell, James E T; Curtis, Jason H; Romero, Oscar E; Röhl, Ursula (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 49.877760 * LONGITUDE: -24.238110
	DATE/TIME START: 2004-10-30T00:00:00 * DATE/TIME END: 2004-10-30T00:00:00
	MINIMUM ELEVATION: -3871.0 m * MAXIMUM ELEVATION: -3871.0 m
Event(s):	303-U1308 * LATITUDE: 49.877760 * LONGITUDE: -24.238110 * DATE/TIME: 2004-10-30T00:00:00 * ELEVATION: -3871.0 m * PENETRATION: 1253.5 m * RECOVERY: 1246 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Exp303 (North Atlantic Climate 1) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 134 cores; 1246.0 m cored; 7.5 m drilled; 95.4 % recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Relative paleointensity proxy (RPI) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10763 data points
*/
Age [ka BP]	RPI
0.610	-0.7028
0.820	-0.5961
1.020	-0.5425
1.220	-0.5115
1.430	-0.4642
1.630	-0.3840
1.840	-0.3363
2.040	-0.2541
2.240	-0.1673
2.450	-0.0551
2.650	0.0775
2.860	0.1796
3.060	0.2541
3.260	0.3250
3.470	0.3755
3.670	0.4726
3.880	0.5964
4.080	0.7335
4.280	0.8722
4.490	0.9587
4.690	1.0138
