edge_id;processus;type;branche;source_id;source_type;statut_preuve;score_preuve;score_source;plancher_documentaire;moyenne_documentaire;poids_activation_stress;perte_projection_ablation;perte_fermeture_stricte_ablation;noeuds_aval;voies_alternatives_min;appartient_cycle;cycle_ids;cycle_verrou_interfaces;entrees_manquantes_sans_arete;role_genealogique;priorite_calibrage;necessite_empirique;suffisance_empirique;temporalite_quantitative;reversibilite_physique;intervention_directe
H001;Heritage du nuage protosolaire;transmission;disque;S04;mission_source;observe_infere;0.850;0.900;0.850;0.875;1.000;0;0;38;1;false;;false;;progression;P3_redondante;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H002;Vaporisation et recondensation interne;transformation;disque;S01;revue;modele_appuye;0.750;0.850;0.750;0.800;1.000;4;30;34;0;false;;false;;retour;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H003;Formation des inclusions refractaires;transformation;disque;S05;article;observe_infere;0.850;0.950;0.850;0.900;1.000;1;1;0;1;true;9;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H004;Transport radial des inclusions;transport;disque;S01;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;0;0;0;1;true;9;false;;retour;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H005;Coagulation fractale;assemblage;disque;S01;revue;experience_modele;0.900;0.850;0.850;0.875;1.000;3;25;32;1;true;2;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H006;Compaction collisionnelle;transformation;disque;S01;revue;experience_modele;0.900;0.850;0.850;0.875;1.000;1;22;32;0;true;2;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H007;Fragmentation et rebond;recyclage;disque;S01;revue;experience_modele;0.900;0.850;0.850;0.875;1.000;0;0;31;1;true;2;false;;retour;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H008;Croissance vers les galets;assemblage;disque;S01;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;1;21;29;1;true;2|11;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H009;Derive et tri aerodynamique;transport;disque;S01;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;0;0;29;1;true;11;false;;retour;P2_cycle_entretien;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
H010;Piegeage aux maxima de pression et lignes de condensation;concentration;disque;S01;revue;observe_modele;0.800;0.850;0.800;0.825;1.000;1;16;25;0;true;11;false;;progression;P1_ablation_structurelle;non_mesuree;non_mesuree;non_mesuree;non_mesuree;non_mesuree
