record_id,title,authors,year,venue,identifier_type,identifier,url,domain_primary,domain_secondary,oric_branch,hypothesis_ids,evidence_role,data_available,code_available,open_access,screening_tier,screening_status,metadata_quality,source_origin,source_file,notes,citation_raw
PUB-0001,"10.1093/mnras/stae1758 [42] Lerner, P., Romanou, A., Way, M. et Colose, C. Obliquity dependence of ocean productivity and atmospheric CO2 on Earth-like worlds. The Astrophysical Journal, 979, 234, 2025. [43] Opher, M., Loeb, A. et Peek, J. E. G. A possible direct exposure of the E arth to the cold dense interstellar medium 2-3 Myr",,2025,,doi,10.3847/1538-4357/ada277,https://doi.org/10.3847/1538-4357/ada277,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,02_branche_systeme_solaire/article/Architecture_historique_du_Systeme_solaire_ORI-C.pdf,1 occurrence(s) dans le dossier,"10.1093/mnras/stae1758 [42] Lerner, P., Romanou, A., Way, M. et Colose, C. Obliquity dependence of ocean productivity and atmospheric CO2 on Earth-like worlds. The Astrophysical Journal, 979, 234, 2025. DOI 10.3847/1538-4357/ada277 [43] Opher, M., Loeb, A. et Peek, J. E. G. A possible direct exposure of the E arth to the cold dense interstellar medium 2-3 Myr"
PUB-0002,"TR-002;TR-004;CNST;CNST;;contrainte sur l’inventaire baryonique;Établi;Observation + reconstruction;L’asymétrie matière-antimatière détermine la quantité baryonique nette qui subsiste après les annihilations et constitue un paramètre d’entrée de la nucléosynthèse primordiale. Elle ne cause pas le confinement des quarks.;""Le mécanisme ayant produit l’asymétrie reste inconnu; le lien porte sur l’abondance baryonique nette disponible pour la nucléosynthèse."";""Particle Data Group (2024/2025); Schöne",,2025,,arxiv,2409.06015,https://arxiv.org/abs/2409.06015,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,à vérifier,à vérifier,probable,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,00_socle/carte_relationnelle/data/relations_oric_47_provisoires.csv,10 occurrence(s) dans le dossier,"TR-002;TR-004;CNST;CNST;;contrainte sur l’inventaire baryonique;Établi;Observation + reconstruction;L’asymétrie matière-antimatière détermine la quantité baryonique nette qui subsiste après les annihilations et constitue un paramètre d’entrée de la nucléosynthèse primordiale. Elle ne cause pas le confinement des quarks.;""Le mécanisme ayant produit l’asymétrie reste inconnu; le lien porte sur l’abondance baryonique nette disponible pour la nucléosynthèse."";""Particle Data Group (2024/2025); Schöneberg, JCAP 2024(06), 006, doi:10.1088/1475-7516/2024/06/006."" TR-003;TR-004;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les protons et neutrons issus du confinement fournissent les constituants de la nucléosynthèse primordiale.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Particle Data Group (2024/2025); Wilson, Phys. Rev. D 10, 2445-2459 (1974), doi:10.1103/PhysRevD.10.2445."" TR-004;TR-005;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux légers produits dans l’Univers primordial s’associent ensuite aux électrons lors de la recombinaison.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Particle Data Group (2024/2025); Cooke, Big Bang Nucleosynthesis, arXiv:2409.06015."" TR-005;TR-011;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;Au cours de la recombinaison cosmologique, l’hélium devient neutre avant l’hydrogène. L’hélium neutre peut alors s’associer radiativem"
PUB-0003,"[43] Opher, M., Loeb, A. et Peek, J. E. G. A possible direct exposure of the E arth to the cold dense interstellar medium 2-3 Myr ago. Nature Astronomy, 8, p. 983-990, 2024. [44] Koll, D. et collaborateurs. No indication of a strong increase in galactic cosmic ray intensity 2-3 Myr ago from",,2024,,doi,10.1038/s41550-024-02279-8,https://doi.org/10.1038/s41550-024-02279-8,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,02_branche_systeme_solaire/article/Architecture_historique_du_Systeme_solaire_ORI-C.pdf,1 occurrence(s) dans le dossier,"[43] Opher, M., Loeb, A. et Peek, J. E. G. A possible direct exposure of the E arth to the cold dense interstellar medium 2-3 Myr ago. Nature Astronomy, 8, p. 983-990, 2024. DOI 10.1038/s41550-024-02279-8 [44] Koll, D. et collaborateurs. No indication of a strong increase in galactic cosmic ray intensity 2-3 Myr ago from"
PUB-0004,"TR-004;TR-005;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux légers produits dans l’Univers primordial s’associent ensuite aux électrons lors de la recombinaison.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Particle Data Group (2024/2025); Cooke, Big Bang Nucleosynthesis, arXiv:2409.06015."" TR-005;TR-011;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;Au cours ",,2023,,doi,10.1146/annurev-astro-082812-141029,https://doi.org/10.1146/annurev-astro-082812-141029,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,00_socle/carte_relationnelle/data/relations_oric_47_provisoires.csv,2 occurrence(s) dans le dossier,"TR-004;TR-005;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux légers produits dans l’Univers primordial s’associent ensuite aux électrons lors de la recombinaison.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Particle Data Group (2024/2025); Cooke, Big Bang Nucleosynthesis, arXiv:2409.06015."" TR-005;TR-011;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;Au cours de la recombinaison cosmologique, l’hélium devient neutre avant l’hydrogène. L’hélium neutre peut alors s’associer radiativement aux protons pour former HeH+.;Le lien vise la recombinaison de l’hélium, pas l’achèvement de la recombinaison de l’hydrogène.;Güsten et al., Nature 568, 357-359 (2019), doi:10.1038/s41586-019-1090-x. TR-005;TR-012;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction + simulation;La recombinaison rend possible la formation durable de H2 et HD dans le gaz primordial.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible."";Galli & Palla, Annual Review of Astronomy and Astrophysics 51, 163-206 (2013), doi:10.1146/annurev-astro-082812-141029. TR-012;TR-006;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Simulation;Le refroidissement par H2 et HD facilite l’effondrement des premiers nuages stellaires.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible."";Klessen & Glover, Annual Review of Astronomy and Astrophysics 61, 65-130 (2023"
PUB-0005,"TR-006;TR-008;ENBL;ENBL;;ouverture ou dépendance;Plausible;Observation + reconstruction;La formation et l’évolution d’étoiles de masse faible ou intermédiaire rendent possibles les phases AGB.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible."";""Klessen & Glover (2023); Zinner, Presolar Grains, Treatise on Geochemistry (2014)."" TR-007;TR-009;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux synthétisé",,2021,,doi,10.1038/s41586-019-1676-3,https://doi.org/10.1038/s41586-019-1676-3,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,00_socle/carte_relationnelle/data/relations_oric_47_provisoires.csv,8 occurrence(s) dans le dossier,"TR-006;TR-008;ENBL;ENBL;;ouverture ou dépendance;Plausible;Observation + reconstruction;La formation et l’évolution d’étoiles de masse faible ou intermédiaire rendent possibles les phases AGB.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible."";""Klessen & Glover (2023); Zinner, Presolar Grains, Treatise on Geochemistry (2014)."" TR-007;TR-009;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux synthétisés dans les étoiles sont les matériaux dispersés lors des explosions stellaires.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";Burbidge et al., Reviews of Modern Physics 29, 547-650 (1957), doi:10.1103/RevModPhys.29.547. TR-006;TR-010;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;L’évolution des étoiles massives rend possible la formation d’étoiles à neutrons et leurs fusions ultérieures.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible."";""Klessen & Glover (2023); Watson et al., Nature 574, 497-500 (2019), doi:10.1038/s41586-019-1676-3."" TR-009;TR-013;MATR;MATR;;fourniture de constituants;Établi;Observation;L’enrichissement stellaire fournit le carbone, l’azote et l’oxygène nécessaires à la chimie interstellaire carbonée.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Burbidge et al. (1957); McGuire et al., Science 371, 1265-1269 (2021), doi:10.1126/science.abb7535."
PUB-0006,Astrochemistry During the Formation of Stars,"Jes K. Jorgensen, Arnaud Belloche, Robin T. Garrod",2020,arXiv,arxiv,2006.07071,https://arxiv.org/abs/2006.07071,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,à vérifier,à vérifier,oui,A — titre/résumé vérifié,inclus prioritaire,métadonnées curées,Balayage arXiv ciblé 2026-08-01,,review,
PUB-0007,"TR-003;TR-004;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les protons et neutrons issus du confinement fournissent les constituants de la nucléosynthèse primordiale.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Particle Data Group (2024/2025); Wilson, Phys. Rev. D 10, 2445-2459 (1974), TR-004;TR-005;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux légers produits dan",,2019,,doi,10.1038/s41586-019-1090-x,https://doi.org/10.1038/s41586-019-1090-x,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,00_socle/sources/INVENTAIRE_PREUVES_CONSOLIDE.md,7 occurrence(s) dans le dossier,"TR-003;TR-004;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les protons et neutrons issus du confinement fournissent les constituants de la nucléosynthèse primordiale.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Particle Data Group (2024/2025); Wilson, Phys. Rev. D 10, 2445-2459 (1974), doi:10.1103/PhysRevD.10.2445."" TR-004;TR-005;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux légers produits dans l’Univers primordial s’associent ensuite aux électrons lors de la recombinaison.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";""Particle Data Group (2024/2025); Cooke, Big Bang Nucleosynthesis, arXiv:2409.06015."" TR-005;TR-011;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;Au cours de la recombinaison cosmologique, l’hélium devient neutre avant l’hydrogène. L’hélium neutre peut alors s’associer radiativement aux protons pour former HeH+.;Le lien vise la recombinaison de l’hélium, pas l’achèvement de la recombinaison de l’hydrogène.;Güsten et al., Nature 568, 357-359 (2019), doi:10.1038/s41586-019-1090-x. TR-005;TR-012;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction + simulation;La recombinaison rend possible la formation durable de H2 et HD dans le gaz primordial.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible."";Galli & Palla, Annual Review of Astronomy and Astrophysics 51, "
PUB-0008,"10. Snyder, L. E. et al. « A Rigorous Attempt to Verify Interstellar Glycine ». The Astrophysical Journal 619, 914-930 (2005).",,2005,,none,,,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,à vérifier,à vérifier,à vérifier,C — candidat bibliographique extrait,à dédoublonner / métadonnées à compléter,citation brute sans identifiant stable,Corpus ORI-C v11,01_branche_matiere/article/Chronologie_des_architectures_de_la_matiere_ORI-C.pdf,extrait automatique de bibliographie,"10. Snyder, L. E. et al. « A Rigorous Attempt to Verify Interstellar Glycine ». The Astrophysical Journal 619, 914-930 (2005)."
PUB-0009,"6. Güsten, R. et al. « Astrophysical Detection of the Helium Hydride Ion HeH+ ». Nature 568, 357-359 (2019). 019-1090-x. 7. Abel, T. et al. « Modelling Primordial Gas in Numerical Cosmology ». New Astronomy 2, 181-207 (1997). 1076(97)00010-9. 8. McGuire, B. A. et al. « Detection of Two Interstellar Polycyclic Aromatic Hydrocarbons via Spectral Matched Filtering ». Science",,1997,,doi,10.1016/s1384,https://doi.org/10.1016/s1384,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,modèle concurrent / banc de test,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,01_branche_matiere/article/Chronologie_des_architectures_de_la_matiere_ORI-C.pdf,2 occurrence(s) dans le dossier,"6. Güsten, R. et al. « Astrophysical Detection of the Helium Hydride Ion HeH+ ». Nature 568, 357-359 (2019). doi:10.1038/s41586- 019-1090-x. 7. Abel, T. et al. « Modelling Primordial Gas in Numerical Cosmology ». New Astronomy 2, 181-207 (1997). doi:10.1016/S1384- 1076(97)00010-9. 8. McGuire, B. A. et al. « Detection of Two Interstellar Polycyclic Aromatic Hydrocarbons via Spectral Matched Filtering ». Science"
PUB-0010,"TR-006;TR-007;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction + simulation;La formation des premières étoiles ouvre la nucléosynthèse stellaire. L’existence historique des étoiles de Population III est très fortement inférée, mais leurs masses et leur distribution restent ouvertes.;La relation est reconstruite et simulée. Aucune étoile de Population III n’a encore été identifiée individuellement de manière incontestable.;Klessen & Glover (2023), TR-006;TR-008;ENBL;ENBL;;ouvert",,1957,,doi,10.1103/revmodphys.29.547,https://doi.org/10.1103/revmodphys.29.547,astrochemistry_stellar,,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,à vérifier,à vérifier,à vérifier,B — citation/identifiant vérifié dans ORI-C,métadonnées partielles,identifiant stable; titre brut à nettoyer,Corpus ORI-C v11,00_socle/carte_relationnelle/data/relations_oric_47_provisoires.csv,8 occurrence(s) dans le dossier,"TR-006;TR-007;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction + simulation;La formation des premières étoiles ouvre la nucléosynthèse stellaire. L’existence historique des étoiles de Population III est très fortement inférée, mais leurs masses et leur distribution restent ouvertes.;La relation est reconstruite et simulée. Aucune étoile de Population III n’a encore été identifiée individuellement de manière incontestable.;Klessen & Glover (2023), doi:10.1146/annurev-astro-071221-053453. TR-006;TR-008;ENBL;ENBL;;ouverture ou dépendance;Plausible;Observation + reconstruction;La formation et l’évolution d’étoiles de masse faible ou intermédiaire rendent possibles les phases AGB.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible."";""Klessen & Glover (2023); Zinner, Presolar Grains, Treatise on Geochemistry (2014)."" TR-007;TR-009;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les noyaux synthétisés dans les étoiles sont les matériaux dispersés lors des explosions stellaires.;""Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs."";Burbidge et al., Reviews of Modern Physics 29, 547-650 (1957), doi:10.1103/RevModPhys.29.547. TR-006;TR-010;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;L’évolution des étoiles massives rend possible la formation d’étoiles à neutrons et leurs fusions ultérieures.;""Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire"
