record_id,domain_primary,oric_branch,hypothesis_ids,evidence_role,screening_tier,priority,action_possible,reason
PUB-0001,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0002,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0003,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0004,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0005,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0006,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,A — titre/résumé vérifié,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0007,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0008,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,preuve disciplinaire / contexte,C — candidat bibliographique extrait,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0009,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,modèle concurrent / banc de test,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0010,astrochemistry_stellar,Branche 1 — matière,H-M-001;H-T-001,synthèse / cadrage,B — citation/identifiant vérifié dans ORI-C,3,revue de pertinence,priorité fondée sur les verrous de l’état initial
PUB-0011,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0012,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,synthèse / cadrage,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0013,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
PUB-0014,causal_discovery_system_id,Socle / transversal,H-S-002;H-M-001;H-C-007;H-C-014;H-C-015;H-T-001;H-T-002,méthode / outil,A — titre/résumé vérifié,1,reconstruire la chaîne à partir des données,priorité fondée sur les verrous de l’état initial
