taxon,component,origin,function,dependency,evidence_level,architecture_original,composition_original,environment_original,status_original,source_url
Archée,Archée,Cellule,Domaine du vivant,,3,Cellule procaryote,"Membrane éther, protéines, ADN, ARN, métabolites","Milieux variés, parfois extrêmes",Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Bactérie,Bactérie,Cellule,Domaine du vivant,,3,Cellule procaryote,"Membrane, peptidoglycane variable, protéines, ADN, ARN",Tous milieux terrestres,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Protiste,Protiste,Cellule,Grande diversité fonctionnelle,,3,Cellule eucaryote,"Biomolécules, organites, membranes","Eaux, sols, hôtes",Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule fongique,Cellule fongique,Cellule,Décomposition et symbioses,,3,Cellule eucaryote à paroi,"Chitine, glucanes, protéines, organites","Sols, organismes, milieux aquatiques",Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule végétale,Cellule végétale,Cellule,Photosynthèse pour de nombreux groupes,,3,Cellule eucaryote à paroi,"Cellulose, membranes, chloroplastes, vacuole",Plantes et algues,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Cellule animale,Cellule animale,Cellule,Spécialisation tissulaire,,3,Cellule eucaryote sans paroi rigide,"Membranes, protéines, organites, matrice associée",Animaux,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
cellule_eucaryote_générale,Membrane plasmique,Structure cellulaire,Frontière sélective,,3,Bicouche dynamique,"Phospholipides, protéines, stérols, glucides",Cellules,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
cellule_eucaryote_générale,Cytosol,Structure cellulaire,Milieu réactionnel,,3,Solution macromoléculaire encombrée,"Eau, ions, protéines, métabolites, ARN",Cellules,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
cellule_eucaryote_générale,Noyau eucaryote,Structure cellulaire,Gestion de l'information génétique,,3,Compartiment chromatinien,"ADN, histones, ARN, protéines, membrane",Cellules eucaryotes,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
cellule_eucaryote_générale,Mitochondrie,Structure cellulaire,Conversion énergétique,,3,Organite à double membrane,"Membranes, protéines, ADN, métabolites",Cellules eucaryotes,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
cellule_eucaryote_générale,Chloroplaste,Structure cellulaire,Capture et conversion de lumière,,3,Organite photosynthétique,"Membranes, pigments, protéines, ADN",Plantes et algues,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
cellule_eucaryote_générale,Ribosome,Structure cellulaire,Synthèse des protéines,,3,Complexe ribonucléoprotéique,ARN ribosomiques et protéines,Toutes cellules,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
cellule_eucaryote_générale,Cytosquelette,Structure cellulaire,"Forme, transport, division",,3,Réseau dynamique,"Actine, tubuline, filaments intermédiaires et moteurs",Cellules eucaryotes et analogues procaryotes,Confirmé,https://pubchem.ncbi.nlm.nih.gov/docs/compounds
