Catégorie;Nom;Symbole;Composition;Charge;Statut;Stabilité;Production ou environnement;Note;Source URL
Baryon, nucléon;proton;p;uud;+1;Confirmé;Stable dans les limites observées;Noyaux atomiques, rayons cosmiques;Baryon le plus léger;https://pdg.lbl.gov/
Baryon, nucléon;neutron;n;udd;0;Confirmé;Stable dans certains noyaux, libre environ 15 minutes;Noyaux atomiques, étoiles à neutrons;Baryon neutre essentiel;https://pdg.lbl.gov/
Baryon léger;Delta;Δ++, Δ+, Δ0, Δ−;uuu, uud, udd, ddd;+2 à −1;Confirmé;Très instable;Collisions hadroniques;Résonances du nucléon;https://pdg.lbl.gov/
Baryon étrange;Lambda;Λ0;uds;0;Confirmé;Instable;Rayons cosmiques, collisions;Hyperon étrange;https://pdg.lbl.gov/
Baryon étrange;Sigma;Σ+, Σ0, Σ−;uus, uds, dds;+1 à −1;Confirmé;Instable;Collisions hadroniques;Famille d'hyperons;https://pdg.lbl.gov/
Baryon étrange;Xi;Ξ0, Ξ−;uss, dss;0 ou −1;Confirmé;Instable;Collisions hadroniques;Hyperons doublement étranges;https://pdg.lbl.gov/
Baryon étrange;Omega moins;Ω−;sss;−1;Confirmé;Instable;Collisions hadroniques;Baryon triplement étrange;https://pdg.lbl.gov/
Baryon charmé;Lambda charmé;Λc+;udc;+1;Confirmé;Instable;Collisions haute énergie;Baryon contenant un quark charm;https://pdg.lbl.gov/
Baryon charmé;Sigma charmé;Σc++, Σc+, Σc0;uuc, udc, ddc;+2 à 0;Confirmé;Instable;Collisions haute énergie;Famille charmée;https://pdg.lbl.gov/
Baryon charmé;Xi charmé;Ξc+, Ξc0;usc, dsc;+1 ou 0;Confirmé;Instable;Collisions haute énergie;Baryon charmé et étrange;https://pdg.lbl.gov/
Baryon charmé;Omega charmé;Ωc0;ssc;0;Confirmé;Instable;Collisions haute énergie;Baryon doublement étrange;https://pdg.lbl.gov/
Baryon bottom;Lambda bottom;Λb0;udb;0;Confirmé;Instable;Collisions haute énergie;Baryon contenant un quark bottom;https://pdg.lbl.gov/
Baryon bottom;Xi bottom;Ξb0, Ξb−;usb, dsb;0 ou −1;Confirmé;Instable;Collisions haute énergie;Famille bottom étrange;https://pdg.lbl.gov/
Baryon bottom;Omega bottom;Ωb−;ssb;−1;Confirmé;Instable;Collisions haute énergie;Baryon bottom doublement étrange;https://pdg.lbl.gov/
Méson léger;pion positif;π+;u anti-d;+1;Confirmé;Instable;Interaction nucléaire résiduelle;Méson pseudoscalaire;https://pdg.lbl.gov/
Méson léger;pion neutre;π0;superposition u anti-u et d anti-d;0;Confirmé;Très instable;Collisions, désintégrations;Méson pseudoscalaire;https://pdg.lbl.gov/
Méson léger;pion négatif;π−;d anti-u;−1;Confirmé;Instable;Interaction nucléaire résiduelle;Antiparticule du pion positif;https://pdg.lbl.gov/
Méson léger;eta;η;mélange de paires quark-antiquark;0;Confirmé;Très instable;Collisions hadroniques;Méson pseudoscalaire;https://pdg.lbl.gov/
Méson léger;eta prime;η′;mélange de paires quark-antiquark;0;Confirmé;Très instable;Collisions hadroniques;Méson pseudoscalaire;https://pdg.lbl.gov/
Méson vectoriel;rho;ρ+, ρ0, ρ−;u et d avec antiquarks;+1, 0, −1;Confirmé;Très instable;Collisions hadroniques;Méson vectoriel;https://pdg.lbl.gov/
Méson vectoriel;omega;ω;mélange u anti-u et d anti-d;0;Confirmé;Très instable;Collisions hadroniques;Méson vectoriel léger;https://pdg.lbl.gov/
Méson vectoriel;phi;φ;principalement s anti-s;0;Confirmé;Très instable;Collisions hadroniques;Méson vectoriel étrange;https://pdg.lbl.gov/
Méson étrange;kaon positif;K+;u anti-s;+1;Confirmé;Instable;Rayons cosmiques, collisions;Méson étrange;https://pdg.lbl.gov/
Méson étrange;kaon négatif;K−;s anti-u;−1;Confirmé;Instable;Rayons cosmiques, collisions;Antiparticule du kaon positif;https://pdg.lbl.gov/
Méson étrange;kaon neutre;K0;d anti-s;0;Confirmé;Instable, oscillations;Collisions, physique CP;État de saveur;https://pdg.lbl.gov/
Méson étrange;antikaon neutre;anti-K0;s anti-d;0;Confirmé;Instable, oscillations;Collisions, physique CP;État de saveur;https://pdg.lbl.gov/
Méson étrange;kaon court;KS0;superposition K0 et anti-K0;0;Confirmé;Très instable;Désintégrations faibles;État propre approximatif;https://pdg.lbl.gov/
Méson étrange;kaon long;KL0;superposition K0 et anti-K0;0;Confirmé;Instable, plus long vécu;Désintégrations faibles;État propre approximatif;https://pdg.lbl.gov/
Méson charmé;D zéro;D0;c anti-u;0;Confirmé;Instable;Collisions haute énergie;Méson ouvertement charmé;https://pdg.lbl.gov/
Méson charmé;anti-D zéro;anti-D0;u anti-c;0;Confirmé;Instable;Collisions haute énergie;Antiparticule du D0;https://pdg.lbl.gov/
Méson charmé;D positif;D+;c anti-d;+1;Confirmé;Instable;Collisions haute énergie;Méson charmé;https://pdg.lbl.gov/
Méson charmé;D étrange;Ds+;c anti-s;+1;Confirmé;Instable;Collisions haute énergie;Méson charmé et étrange;https://pdg.lbl.gov/
Charmonium;J/psi;J/ψ;c anti-c;0;Confirmé;Très instable;Collisions, plasma quarks-gluons;État lié charm-anticharm;https://pdg.lbl.gov/
Charmonium;eta charm;ηc;c anti-c;0;Confirmé;Très instable;Collisions haute énergie;Charmonium pseudoscalaire;https://pdg.lbl.gov/
Charmonium;psi deux S;ψ(2S);c anti-c excité;0;Confirmé;Très instable;Collisions haute énergie;État excité du charmonium;https://pdg.lbl.gov/
Méson bottom;B positif;B+;u anti-b;+1;Confirmé;Instable;Collisions haute énergie;Méson ouvertement bottom;https://pdg.lbl.gov/
Méson bottom;B zéro;B0;d anti-b;0;Confirmé;Instable, oscillations;Physique CP;Méson bottom neutre;https://pdg.lbl.gov/
Méson bottom;Bs zéro;Bs0;s anti-b;0;Confirmé;Instable, oscillations;Physique CP;Méson bottom étrange;https://pdg.lbl.gov/
Méson double lourd;Bc positif;Bc+;c anti-b;+1;Confirmé;Instable;Collisions haute énergie;Contient charm et bottom;https://pdg.lbl.gov/
Bottomonium;Upsilon;Υ;b anti-b;0;Confirmé;Très instable;Collisions haute énergie;État lié bottom-antibottom;https://pdg.lbl.gov/
Bottomonium;eta bottom;ηb;b anti-b;0;Confirmé;Très instable;Collisions haute énergie;Bottomonium pseudoscalaire;https://pdg.lbl.gov/
État exotique;X 3872;X(3872);structure interne discutée, tétraquark ou molécule hadronique;0;Résonance confirmée, structure ouverte;Très instable;Collisions haute énergie;État exotique majeur;https://pdg.lbl.gov/
État exotique;Zc 3900;Zc(3900);au moins quatre quarks;Chargé;Résonance observée;Très instable;Collisions haute énergie;Candidat tétraquark;https://pdg.lbl.gov/
État exotique;Tcc positif;Tcc+;cc anti-u anti-d probable;+1;État exotique observé;Très instable;Collisions haute énergie;Candidat tétraquark doublement charmé;https://pdg.lbl.gov/
