ID;Niveau principal;Sous-niveau;Entité;Symbole ou formule;Type d'entrée;Statut;Composition ou description;Architecture ou état;Réservoirs typiques;Stabilité ou durée;Accessibilité;Mobilisabilité;Source URL;type_registre
MAT-00001;Constituants fondamentaux;Fermion, quark;up;u;Entité;Confirmé;Charge +2/3, spin 1/2, antiparticule anti-u;Charge de couleur: Oui;Constituant des protons et neutrons;Instable à l'état libre, confiné;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00002;Constituants fondamentaux;Fermion, quark;down;d;Entité;Confirmé;Charge -1/3, spin 1/2, antiparticule anti-d;Charge de couleur: Oui;Constituant des protons et neutrons;Instable à l'état libre, confiné;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00003;Constituants fondamentaux;Fermion, quark;charm;c;Entité;Confirmé;Charge +2/3, spin 1/2, antiparticule anti-c;Charge de couleur: Oui;Hadrons charmés;Très instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00004;Constituants fondamentaux;Fermion, quark;strange;s;Entité;Confirmé;Charge -1/3, spin 1/2, antiparticule anti-s;Charge de couleur: Oui;Hadrons étranges;Instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00005;Constituants fondamentaux;Fermion, quark;top;t;Entité;Confirmé;Charge +2/3, spin 1/2, antiparticule anti-t;Charge de couleur: Oui;Quark le plus massif connu;Extrêmement instable, pas d'hadronisation ordinaire;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00006;Constituants fondamentaux;Fermion, quark;bottom;b;Entité;Confirmé;Charge -1/3, spin 1/2, antiparticule anti-b;Charge de couleur: Oui;Hadrons beaux;Très instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00007;Constituants fondamentaux;Fermion, lepton;électron;e-;Entité;Confirmé;Charge −1, spin 1/2, antiparticule positron e+;Charge de couleur: Non;Atomes, courants électriques, chimie;Stable dans les limites observées;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00008;Constituants fondamentaux;Fermion, lepton;neutrino électronique;νe;Entité;Confirmé;Charge 0, spin 1/2, antiparticule anti-νe ou identité Majorana non résolue;Charge de couleur: Non;Interactions faibles, oscillations;Stable ou extrêmement long vécu;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00009;Constituants fondamentaux;Fermion, lepton;muon;μ-;Entité;Confirmé;Charge −1, spin 1/2, antiparticule anti-muon μ+;Charge de couleur: Non;Lepton lourd;Instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00010;Constituants fondamentaux;Fermion, lepton;neutrino muonique;νμ;Entité;Confirmé;Charge 0, spin 1/2, antiparticule anti-νμ ou identité Majorana non résolue;Charge de couleur: Non;Interactions faibles, oscillations;Stable ou extrêmement long vécu;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00011;Constituants fondamentaux;Fermion, lepton;tau;τ-;Entité;Confirmé;Charge −1, spin 1/2, antiparticule anti-tau τ+;Charge de couleur: Non;Lepton lourd;Très instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00012;Constituants fondamentaux;Fermion, lepton;neutrino tauique;ντ;Entité;Confirmé;Charge 0, spin 1/2, antiparticule anti-ντ ou identité Majorana non résolue;Charge de couleur: Non;Interactions faibles, oscillations;Stable ou extrêmement long vécu;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00013;Constituants fondamentaux;Boson de jauge;photon;γ;Entité;Confirmé;Charge 0, spin 1, antiparticule Lui-même;Charge de couleur: Non;Interaction électromagnétique;Stable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00014;Constituants fondamentaux;Boson de jauge;gluon;g;Entité;Confirmé;Charge 0, spin 1, antiparticule Lui-même au niveau des états de couleur;Charge de couleur: Oui, charge de couleur;Interaction forte;Confiné;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00015;Constituants fondamentaux;Boson de jauge;boson W positif;W+;Entité;Confirmé;Charge +1, spin 1, antiparticule W-;Charge de couleur: Non;Interaction faible chargée;Très instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00016;Constituants fondamentaux;Boson de jauge;boson W négatif;W-;Entité;Confirmé;Charge −1, spin 1, antiparticule W+;Charge de couleur: Non;Interaction faible chargée;Très instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00017;Constituants fondamentaux;Boson de jauge;boson Z;Z0;Entité;Confirmé;Charge 0, spin 1, antiparticule Lui-même;Charge de couleur: Non;Interaction faible neutre;Très instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00018;Constituants fondamentaux;Boson scalaire;boson de Higgs;H0;Entité;Confirmé;Charge 0, spin 0, antiparticule Lui-même dans le Modèle standard;Charge de couleur: Non;Excitation du champ de Higgs;Très instable;Accès indirect par détection ou production;Non quantifié;https://home.cern/science/physics/standard-model/;ENT
MAT-00019;Particules composites;Baryon, nucléon;proton;p;Entité ou famille;Confirmé;uud;Baryon le plus léger;Noyaux atomiques, rayons cosmiques;Stable dans les limites observées;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00020;Particules composites;Baryon, nucléon;neutron;n;Entité ou famille;Confirmé;udd;Baryon neutre essentiel;Noyaux atomiques, étoiles à neutrons;Stable dans certains noyaux, libre environ 15 minutes;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00021;Particules composites;Baryon léger;Delta;Δ++, Δ+, Δ0, Δ−;Entité ou famille;Confirmé;uuu, uud, udd, ddd;Résonances du nucléon;Collisions hadroniques;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00022;Particules composites;Baryon étrange;Lambda;Λ0;Entité ou famille;Confirmé;uds;Hyperon étrange;Rayons cosmiques, collisions;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00023;Particules composites;Baryon étrange;Sigma;Σ+, Σ0, Σ−;Entité ou famille;Confirmé;uus, uds, dds;Famille d'hyperons;Collisions hadroniques;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00024;Particules composites;Baryon étrange;Xi;Ξ0, Ξ−;Entité ou famille;Confirmé;uss, dss;Hyperons doublement étranges;Collisions hadroniques;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00025;Particules composites;Baryon étrange;Omega moins;Ω−;Entité ou famille;Confirmé;sss;Baryon triplement étrange;Collisions hadroniques;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00026;Particules composites;Baryon charmé;Lambda charmé;Λc+;Entité ou famille;Confirmé;udc;Baryon contenant un quark charm;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00027;Particules composites;Baryon charmé;Sigma charmé;Σc++, Σc+, Σc0;Entité ou famille;Confirmé;uuc, udc, ddc;Famille charmée;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00028;Particules composites;Baryon charmé;Xi charmé;Ξc+, Ξc0;Entité ou famille;Confirmé;usc, dsc;Baryon charmé et étrange;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00029;Particules composites;Baryon charmé;Omega charmé;Ωc0;Entité ou famille;Confirmé;ssc;Baryon doublement étrange;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00030;Particules composites;Baryon bottom;Lambda bottom;Λb0;Entité ou famille;Confirmé;udb;Baryon contenant un quark bottom;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00031;Particules composites;Baryon bottom;Xi bottom;Ξb0, Ξb−;Entité ou famille;Confirmé;usb, dsb;Famille bottom étrange;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00032;Particules composites;Baryon bottom;Omega bottom;Ωb−;Entité ou famille;Confirmé;ssb;Baryon bottom doublement étrange;Collisions haute énergie;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00033;Particules composites;Méson léger;pion positif;π+;Entité ou famille;Confirmé;u anti-d;Méson pseudoscalaire;Interaction nucléaire résiduelle;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00034;Particules composites;Méson léger;pion neutre;π0;Entité ou famille;Confirmé;superposition u anti-u et d anti-d;Méson pseudoscalaire;Collisions, désintégrations;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00035;Particules composites;Méson léger;pion négatif;π−;Entité ou famille;Confirmé;d anti-u;Antiparticule du pion positif;Interaction nucléaire résiduelle;Instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00036;Particules composites;Méson léger;eta;η;Entité ou famille;Confirmé;mélange de paires quark-antiquark;Méson pseudoscalaire;Collisions hadroniques;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00037;Particules composites;Méson léger;eta prime;η′;Entité ou famille;Confirmé;mélange de paires quark-antiquark;Méson pseudoscalaire;Collisions hadroniques;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00038;Particules composites;Méson vectoriel;rho;ρ+, ρ0, ρ−;Entité ou famille;Confirmé;u et d avec antiquarks;Méson vectoriel;Collisions hadroniques;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
MAT-00039;Particules composites;Méson vectoriel;omega;ω;Entité ou famille;Confirmé;mélange u anti-u et d anti-d;Méson vectoriel léger;Collisions hadroniques;Très instable;Accès expérimental ou astrophysique variable;Non quantifié;https://pdg.lbl.gov/;ENT
