relation_id;source_libelle;relation_type;target_libelle;transformation_id;mecanisme;reservoir;condition_ids;fenetre;axe_mecanisme;axe_milieu_naturel;axe_transition_historique;axe_role_causal
REL-0001;quarks;filiation_materielle;nucléons | protons | neutrons;GA-001;confinement;plasma de quarks et gluons;expansion cosmologique;~10⁻⁵ s;établi;établi;établi;établi
REL-0002;gluons;filiation_materielle;nucléons | protons | neutrons;GA-001;confinement;plasma de quarks et gluons;expansion cosmologique;~10⁻⁵ s;établi;établi;établi;établi
REL-0003;expansion cosmologique;condition_ouverture;nucléons | protons | neutrons;GA-001;confinement;plasma de quarks et gluons;;~10⁻⁵ s;établi;établi;établi;établi
REL-0004;nucléons;filiation_materielle;deutérium;GA-002;fusion_nucleaire;plasma primordial;expansion cosmologique;~100 s;établi;établi;établi;établi
REL-0005;expansion cosmologique;condition_ouverture;deutérium;GA-002;fusion_nucleaire;plasma primordial;;~100 s;établi;établi;établi;établi
REL-0006;deutérium;filiation_materielle;hélium 4 | hélium 3 | lithium 7;GA-003;fusion_nucleaire;plasma primordial;expansion cosmologique;~3 à 20 min;établi;établi;établi;établi
REL-0007;nucléons;filiation_materielle;hélium 4 | hélium 3 | lithium 7;GA-003;fusion_nucleaire;plasma primordial;expansion cosmologique;~3 à 20 min;établi;établi;établi;établi
REL-0008;expansion cosmologique;condition_ouverture;hélium 4 | hélium 3 | lithium 7;GA-003;fusion_nucleaire;plasma primordial;;~3 à 20 min;établi;établi;établi;établi
REL-0009;hélium 4;filiation_materielle;atomes neutres;GA-004;recombinaison_electronique;univers en expansion;expansion cosmologique;~380 000 ans;établi;établi;établi;établi
REL-0010;deutérium;filiation_materielle;atomes neutres;GA-004;recombinaison_electronique;univers en expansion;expansion cosmologique;~380 000 ans;établi;établi;établi;établi
REL-0011;électrons;filiation_materielle;atomes neutres;GA-004;recombinaison_electronique;univers en expansion;expansion cosmologique;~380 000 ans;établi;établi;établi;établi
REL-0012;expansion cosmologique;condition_ouverture;atomes neutres;GA-004;recombinaison_electronique;univers en expansion;;~380 000 ans;établi;établi;établi;établi
REL-0013;atomes neutres;filiation_materielle;dihydrogène;GA-005;chimie_phase_gazeuse;gaz sans poussière;;z ≈ 100 à 20;fortement inféré;fortement inféré;fortement inféré;fortement inféré
REL-0014;électrons;filiation_materielle;dihydrogène;GA-005;chimie_phase_gazeuse;gaz sans poussière;;z ≈ 100 à 20;fortement inféré;fortement inféré;fortement inféré;fortement inféré
REL-0015;atomes neutres;filiation_materielle;premières étoiles;GA-006;effondrement_gravitationnel;mini-halos;gravité | refroidissement par H2 | refroidissement par HD;z ≈ 30 à 20;fortement inféré;fortement inféré;fortement inféré;fortement inféré
REL-0016;gravité;condition_ouverture;premières étoiles;GA-006;effondrement_gravitationnel;mini-halos;;z ≈ 30 à 20;fortement inféré;fortement inféré;fortement inféré;fortement inféré
REL-0017;refroidissement par H2;condition_ouverture;premières étoiles;GA-006;effondrement_gravitationnel;mini-halos;;z ≈ 30 à 20;fortement inféré;fortement inféré;fortement inféré;fortement inféré
REL-0018;refroidissement par HD;condition_ouverture;premières étoiles;GA-006;effondrement_gravitationnel;mini-halos;;z ≈ 30 à 20;fortement inféré;fortement inféré;fortement inféré;fortement inféré
REL-0019;hélium 4;filiation_materielle;carbone 12;GA-007;fusion_nucleaire;cœur stellaire;;combustion de l'hélium;établi;établi;établi;établi
REL-0020;premières étoiles;filiation_materielle;carbone 12;GA-007;fusion_nucleaire;cœur stellaire;;combustion de l'hélium;établi;établi;établi;établi
REL-0021;carbone 12;filiation_materielle;oxygène | néon | magnésium | silicium | soufre;GA-008;fusion_nucleaire;couches en combustion;;évolution avancée;établi;établi;établi;établi
REL-0022;hélium 4;filiation_materielle;oxygène | néon | magnésium | silicium | soufre;GA-008;fusion_nucleaire;couches en combustion;;évolution avancée;établi;établi;établi;établi
REL-0023;silicium;filiation_materielle;fer | nickel | cobalt;GA-009;fusion_nucleaire;cœur en combustion du silicium;;dernières heures d'une étoile massive;établi;établi;établi;établi
REL-0024;soufre;filiation_materielle;fer | nickel | cobalt;GA-009;fusion_nucleaire;cœur en combustion du silicium;;dernières heures d'une étoile massive;établi;établi;établi;établi
REL-0025;fer;filiation_materielle;éléments lourds voie s;GA-010;capture_neutronique;couche riche en hélium;flux neutronique lent;phase AGB;établi;établi;établi;établi
REL-0026;nickel;filiation_materielle;éléments lourds voie s;GA-010;capture_neutronique;couche riche en hélium;flux neutronique lent;phase AGB;établi;établi;établi;établi
REL-0027;cobalt;filiation_materielle;éléments lourds voie s;GA-010;capture_neutronique;couche riche en hélium;flux neutronique lent;phase AGB;établi;établi;établi;établi
REL-0028;neutrons;filiation_materielle;éléments lourds voie s;GA-010;capture_neutronique;couche riche en hélium;flux neutronique lent;phase AGB;établi;établi;établi;établi
REL-0029;flux neutronique lent;condition_ouverture;éléments lourds voie s;GA-010;capture_neutronique;couche riche en hélium;;phase AGB;établi;établi;établi;établi
REL-0030;fer;filiation_materielle;actinides;GA-011;capture_neutronique;"éjecta de fusions d'étoiles à neutrons ; sites explosifs riches en neutrons";flux neutronique rapide;dès les premières générations;établi;établi;établi;établi
