Catégorie;Nom;Composition ou formule;Structure;Réservoirs ou usages;Statut;Note;Source URL
Minéral, élément natif;Or;Au;Cristal métallique;Veines hydrothermales, placers, météorites;Confirmé;Métal natif dense et noble;https://www.rruff.net/ima-mineral-list/
Minéral, élément natif;Cuivre natif;Cu;Cristal métallique;Gisements hydrothermaux, basaltes;Confirmé;Métal natif conducteur;https://www.rruff.net/ima-mineral-list/
Minéral, élément natif;Fer natif;Fe;Cristal métallique;Rare sur Terre, météorites;Confirmé;Souvent allié au nickel;https://www.rruff.net/ima-mineral-list/
Minéral, élément natif;Soufre natif;S;Cristal moléculaire;Volcans, évaporites;Confirmé;Élément natif non métallique;https://www.rruff.net/ima-mineral-list/
Minéral, carbone;Diamant;C;Réseau cubique covalent;Manteau, météorites, laboratoire;Confirmé;Très haute dureté;https://www.rruff.net/ima-mineral-list/
Minéral, carbone;Graphite;C;Feuillets hexagonaux;Roches métamorphiques, météorites;Confirmé;Conducteur anisotrope;https://www.rruff.net/ima-mineral-list/
Sulfure;Pyrite;FeS2;Cristal cubique;Roches, veines, sédiments;Confirmé;Sulfure de fer fréquent;https://www.rruff.net/ima-mineral-list/
Sulfure;Galène;PbS;Cristal cubique;Gisements hydrothermaux;Confirmé;Minerai principal du plomb;https://www.rruff.net/ima-mineral-list/
Sulfure;Sphalérite;ZnS;Cristal cubique;Gisements hydrothermaux;Confirmé;Minerai principal du zinc;https://www.rruff.net/ima-mineral-list/
Sulfure;Chalcopyrite;CuFeS2;Cristal tétragonal;Gisements magmatiques et hydrothermaux;Confirmé;Minerai majeur du cuivre;https://www.rruff.net/ima-mineral-list/
Sulfure;Pentlandite;(Fe,Ni)9S8;Cristal;Gisements magmatiques;Confirmé;Minerai majeur du nickel;https://www.rruff.net/ima-mineral-list/
Halogénure;Halite;NaCl;Cristal cubique ionique;Évaporites, océans, glaces;Confirmé;Sel gemme;https://www.rruff.net/ima-mineral-list/
Halogénure;Sylvite;KCl;Cristal cubique ionique;Évaporites;Confirmé;Minerai de potassium;https://www.rruff.net/ima-mineral-list/
Halogénure;Fluorite;CaF2;Cristal cubique;Veines hydrothermales;Confirmé;Fluorure minéral;https://www.rruff.net/ima-mineral-list/
Oxyde;Quartz;SiO2;Réseau tétraédrique;Croûtes planétaires, poussières;Confirmé;Minéral très abondant;https://www.rruff.net/ima-mineral-list/
Oxyde;Corindon;Al2O3;Cristal trigonal;Roches métamorphiques et magmatiques;Confirmé;Rubis et saphir sont des variétés;https://www.rruff.net/ima-mineral-list/
Oxyde;Hématite;Fe2O3;Cristal trigonal;Roches, sols, Mars;Confirmé;Oxyde ferrique;https://www.rruff.net/ima-mineral-list/
