record_id;corps;episode;horizon_ans;element;espece_chimique;reservoir;quantite_totale;unite;fraction_mobilisable;probabilite_transfert;duree_disponibilite_ans;inventaire_accessible;incertitude;source;statut
N-TER-ATM;Terre;actuel;;N;N2;atmosphere;4.0e18;kg;1.0;1.0;;4.0e18;valeur de reference PAN;S19;reservoir_mobile_par_definition
N-TER-CRC;Terre;actuel;;N;N lie aux silicates et matiere organique;croute continentale;1.7e18;kg;;;;;+/-0.1e18;S19;mesure_compilee
N-TER-SED;Terre;actuel;;N;N organique et ammonium;sediments oceaniques;0.41e18;kg;;;;;+/-0.2e18;S19;mesure_compilee
N-TER-CRO;Terre;actuel;;N;N lie aux silicates;croute oceanique;0.21e18;kg;;;;;intervalle 0.16+/-0.01 a 0.26+/-0.02;S19;mesure_compilee
N-TER-MSL;Terre;actuel;;N;N dissous;manteau source MORB;7.2e18;kg;;;;;+/-5.9e18;S19;infere_N_Ar
N-TER-MHN;Terre;actuel;;N;N subducte recycle;manteau riche en N;17e18;kg;;;;;+/-15e18;S19;infere_N_Ar
N-TER-MAN;Terre;actuel;;N;N dissous;manteau total;24e18;kg;;;;;+/-16e18;S19;infere_N_Ar
N-TER-BSE;Terre;actuel;;N;N total silicate;terre silicatee totale;27e18;kg;;;;;+/-16e18;S19;compilation_terrestre
N-TER-BSE-CC;Terre;actuel;;N;N total silicate;terre silicatee totale;17e18;kg;;;;;+/-13e18 voie chondritique CC;S19;scenario_concurrent
N-TER-BSE-EC;Terre;actuel;;N;N total silicate;terre silicatee totale;31e18;kg;;;;;+/-24e18 voie chondritique EC;S19;scenario_concurrent
N-TER-NOY-CC;Terre;segregation metal-silicate;;N;N allie au fer;noyau;180e18;kg;;;;;+/-110e18 voie chondritique CC;S19;scenario_concurrent
N-TER-NOY-EC;Terre;segregation metal-silicate;;N;N allie au fer;noyau;300e18;kg;;;;;+/-180e18 voie chondritique EC;S19;scenario_concurrent
N-TER-NOY-ZY;Terre;segregation metal-silicate;;N;N allie au fer;noyau;1.8e18;kg;;;;;+/-0.2e18 soit 0.001 wt% par calcul ab initio;S20;scenario_concurrent
N-VEN-ATM;Venus;actuel;;N;N2;atmosphere;11e18;kg;1.0;1.0;;11e18;3.5 pourcent en volume de l atmosphere;S19;reservoir_mobile_par_definition
C-TER-BSE;Terre;actuel;;C;C total silicate;terre silicatee totale;140;ppm;;;;;+/-40 ppm estimation de reference;S22;compilation_experimentale
C-TER-BSE-MIN;Terre;actuel;;C;C total silicate;terre silicatee totale;100;ppm;;;;;borne basse de la fourchette publiee;S22;scenario_concurrent
C-TER-BSE-MAX;Terre;actuel;;C;C total silicate;terre silicatee totale;260;ppm;;;;;borne haute de la fourchette publiee;S22;scenario_concurrent
C-TER-NOY-BAS;Terre;segregation metal-silicate;;C;C allie au fer;noyau;0.1;wt%;;;;;borne superieure la plus probable selon la parametrisation experimentale;S22;scenario_concurrent
C-TER-NOY-MIN;Terre;segregation metal-silicate;;C;C allie au fer;noyau;0.19;wt%;;;;;borne basse du modele d accretion multi-etapes;S23;scenario_concurrent
C-TER-NOY-MAX;Terre;segregation metal-silicate;;C;C allie au fer;noyau;1.37;wt%;;;;;borne haute du modele d accretion multi-etapes;S23;scenario_concurrent
C-TER-BULK-MIN;Terre;actuel;;C;C total;terre totale;0.07;wt%;;;;;borne basse incluant le carbone du noyau;S23;scenario_concurrent
C-TER-BULK-MAX;Terre;actuel;;C;C total;terre totale;0.44;wt%;;;;;borne haute incluant le carbone du noyau;S23;scenario_concurrent
H-TER-OCE;Terre;actuel;;H;H2O liquide;hydrosphere;1.4e21;kg H2O;1.0;1.0;;1.4e21;masse des oceans soit 0.023 wt% de la Terre;S21;reservoir_mobile_par_definition
H-TER-NOY-MIN;Terre;segregation metal-silicate;;H;H allie au fer;noyau;0.18;wt%;;;;;borne basse du modele d accretion multi-etapes;S23;scenario_concurrent
H-TER-NOY-MAX;Terre;segregation metal-silicate;;H;H allie au fer;noyau;0.49;wt%;;;;;borne haute du modele d accretion multi-etapes;S23;scenario_concurrent
H-TER-BULK-MIN;Terre;actuel;;H;H2O equivalent;terre totale;0.53;wt% H2O;;;;;borne basse incluant l hydrogene du noyau;S23;scenario_concurrent
H-TER-BULK-MAX;Terre;actuel;;H;H2O equivalent;terre totale;1.40;wt% H2O;;;;;borne haute incluant l hydrogene du noyau;S23;scenario_concurrent
S-TER-BSE;Terre;actuel;;S;S sulfure et sulfate;terre silicatee totale;250;ppm;;;;;+/-50 ppm sur la tendance de volatilite;S24;compilation_experimentale
S-TER-BSE-MIN;Terre;actuel;;S;S sulfure et sulfate;terre silicatee totale;200;ppm;;;;;+/-40 ppm borne basse publiee;S24;scenario_concurrent
S-TER-NOY;Terre;segregation metal-silicate;;S;S allie au fer;noyau;1.8;wt%;;;;;fourchette publiee 1.8 a 1.9 wt%;S24;infere_geochimique
S-TER-BULK;Terre;actuel;;S;S total;terre totale;5900;ppm;;;;;estimations concurrentes de 0.56 a 5.9 wt%;S24;scenario_concurrent
