id;ordre;nom;parents;gm_mapping;etat_avant;processus;contraintes;inscription_historique;nouveaux_accessibles;non_demontre;observable;source_ids;mode_preuve;statut
GC-001;1;Nucléosynthèse stellaire multi-générationnelle;;GM-007|GM-008|GM-009|GM-010|GM-011|GM-012;Gaz enrichi par générations stellaires;fusion, captures neutroniques, explosions;masse stellaire|métallicité|température|densité;inventaire isotopique nouvellement synthétisé;C|O|Mg|Al|Si|Ca|Ti|Fe|Ni et noyaux lourds deviennent matériellement disponibles;le passage jusqu'à la composition protosolaire exacte;rendements élémentaires/isotopiques;SRC-GC-001|SRC-GC-002|SRC-GC-003|SRC-GC-004|SRC-GC-005|SRC-GC-006;modèle quantitatif + observations stellaires;mesuré/modélisé
GC-002;2;Éjections AGB et vents stellaires;GC-001;GM-010|GM-013;Étoiles évoluées enrichies;perte de masse et condensation dans les vents;température de condensation|chimie C/O;gaz et grains enrichis injectés dans le milieu interstellaire;carbone, éléments s et grains stellaires exportés hors de l'étoile;fraction exacte incorporée au nuage protosolaire;rendements + grains présolaires;SRC-GC-002|SRC-GC-004|SRC-GC-011;modèle + échantillons;soutenu
GC-003;3;Supernovæ, explosions et radionuclides courts;GC-001;GM-009|GM-011|GM-012;Étoiles massives en fin de vie;nucléosynthèse explosive et éjection;structure stellaire|énergie d'explosion|mélange;isotopes et radionuclides injectés dans l'ISM;nouveaux noyaux et sources de chauffage radiogénique deviennent disponibles;source unique du 26Al protosolaire;isotopes présolaires|26Al/26Mg;SRC-GC-001|SRC-GC-005|SRC-GC-006|SRC-GC-010|SRC-GC-018;modèle + échantillons;soutenu, origine détaillée ouverte
GC-004;4;Survie de grains présolaires;GC-002|GC-003;GM-013;Poussières circumstellaires dans l'ISM;transport, mélange, survie partielle;destruction thermique|chocs|altération;grains avec anomalies isotopiques stellaires conservées;une histoire stellaire reste matériellement identifiable dans des solides ultérieurs;bilan de masse global de chaque source stellaire;anomalies isotopiques grain par grain;SRC-GC-010|SRC-GC-011|SRC-GC-012|SRC-GC-040;échantillon direct;soutien direct étroit
GC-005;5;Enrichissement et mélange du milieu interstellaire;GC-002|GC-003|GC-004;;Gaz+poussières issus de multiples générations;mélange galactique/local et recyclage;temps de mélange|environnement galactique|métallicité;composition du réservoir pré-stellaire;un nuage peut contenir les éléments réfractaires/volatils nécessaires à des solides planétaires;trajectoire unique du nuage solaire à travers la Galaxie;abondances solaires|isotopes nucléosynthétiques;SRC-GC-007|SRC-GC-008|SRC-GC-014|SRC-GC-015|SRC-GC-016|SRC-GC-028|SRC-GC-040;reconstruction;soutenu pour enrichissement, histoire locale partielle
GC-006;6;Nuage moléculaire enrichi, glaces et organiques;GC-005;GM-014|GM-015|GM-016;Nuage dense enrichi en métaux et poussières;chimie gaz-grain, adsorption, hydrogénation, irradiation;température basse|densité|UV|rayons cosmiques;manteaux de glace et molécules sur grains;H2O|CO|CO2|CH3OH et chimie organique deviennent des réservoirs transmissibles;composition exacte du cœur protosolaire avant effondrement;spectroscopie de glaces|isotopologues;SRC-GC-013|SRC-GC-014|SRC-GC-028|SRC-GC-029;observation analogue + reconstruction;soutenu, Solar System direct incomplet
GC-007;7;Effondrement du cœur protosolaire;GC-006;;Cœur moléculaire gravitationnellement instable;effondrement, conservation/redistribution du moment angulaire;gravité|champ magnétique|turbulence|refroidissement;protostar + enveloppe + flux d'infall;formation d'un Soleil jeune et d'un disque devient accessible;conditions initiales exactes du cœur solaire;observations de protostars analogues + modèles;SRC-GC-013|SRC-GC-014|SRC-GC-029|SRC-GC-038;analogue astrophysique + modèle;fortement soutenu comme processus général
GC-008;8;Héritage nuage → disque;GC-006|GC-007;GM-015|GM-016;Matière du nuage en effondrement;advection/infall avec destruction et survie sélectives;chauffage|photodissociation|sublimation|recondensation;fraction de glaces, organiques et grains conserve une signature pré-disque;certaines molécules et grains formés avant le disque restent disponibles pendant la formation planétaire;fraction exacte héritée dans le disque solaire;D2O/H2O|grains présolaires|organique isotopique;SRC-GC-011|SRC-GC-013|SRC-GC-014|SRC-GC-029|SRC-GC-030|SRC-GC-034|SRC-GC-038;échantillons + analogue externe;soutenu par plusieurs modes, fraction solaire non fermée
GC-009;9;Réservoirs isotopiques et apport tardif dans le disque;GC-005|GC-007|GC-008;;Disque alimenté par un mélange spatialement/chronologiquement variable;infall, transport radial, tri thermique, barrières de pression;géométrie du disque|temps|taille des grains|température;gradients et réservoirs isotopiques différenciés;des régions du disque acquièrent des inventaires et trajectoires d'accrétion différents;modèle unique NC/CC ou barrière jovienne unique;Si-Mg-Fe-Cr|Ti|O isotopes;SRC-GC-014|SRC-GC-015|SRC-GC-016|SRC-GC-025|SRC-GC-027|SRC-GC-030|SRC-GC-031|SRC-GC-034|SRC-GC-040;échantillons + reconstruction + modèles concurrents;hétérogénéité soutenue, mécanismes non uniques
GC-010;10;Condensation et minéralogie accessible;GC-005|GC-009;;Gaz de composition protosolaire sous refroidissement;condensation/évaporation et réactions gaz-solide;T|P|composition|cinétique;phases solides dont réfractaires;un espace minéralogique solide dépendant de la composition et du régime thermique devient accessible;équilibre local parfait dans le disque réel;séquences de condensation|abondances;SRC-GC-008|SRC-GC-009|SRC-GC-032|SRC-GC-039;thermodynamique + météorites;soutenu comme cadre, cinétique locale ouverte
