claim_id;question;mechanism;stages;source_ids;evidence_mode;directness;verdict;scope;counterfactual;limitation
C-GC-01;La nucléosynthèse stellaire élargit-elle l’inventaire matériel au-delà de la BBN légère ?;Production de noyaux plus lourds dans les étoiles et leurs explosions.;GC-001|GC-003|GC-005;SRC-GC-001|SRC-GC-002|SRC-GC-005|SRC-GC-006|SRC-GC-007;modèles de rendement + spectroscopie/composition solaire;mixte;supports_narrow;"Le dépôt quantifie la couverture des éléments par 6 familles de rendements; cela teste l’élargissement de l’inventaire modèle, pas une trajectoire galactique unique.";Comparer le set BBN H/He/Li au set de noyaux avec rendement stellaire positif.;Pas de modèle d’évolution chimique galactique fermé jusqu’au nuage protosolaire.
C-GC-02;Une trace matérielle de nucléosynthèse stellaire peut-elle survivre jusqu’aux matériaux primitifs du Système solaire ?;Condensation de grains autour d’étoiles puis survie à travers ISM, nuage, disque et accrétion.;GC-002|GC-003|GC-004|GC-016;SRC-GC-010|SRC-GC-011|SRC-GC-012|SRC-GC-028|SRC-GC-040;échantillons météoritiques et Bennu, isotopes grain-par-grain;directe sur la matière conservée;supports_direct_material_inheritance;Démontre une continuité matérielle pour des grains particuliers.;Un matériau complètement réinitialisé ne conserverait pas ces anomalies nucléosynthétiques stellaires.;Ne quantifie pas la fraction totale de masse héritée de chaque population stellaire.
C-GC-03;Des molécules/glaces formées avant le disque peuvent-elles rester disponibles dans un disque planétaire ?;Survie partielle pendant effondrement et formation du disque.;GC-006|GC-007|GC-008;SRC-GC-013|SRC-GC-029;observation ALMA d’un analogue externe;directe dans un autre système;supports_external_analogue;V883 Ori fournit un test observationnel de l’héritage eau nuage→disque.;Le scénario de reset chimique produit des ratios d’isotopologues différents.;Ce n’est pas une observation du disque solaire disparu.
C-GC-04;L’histoire d’alimentation et de traitement du disque laisse-t-elle des réservoirs isotopiques distincts ?;Infall, transport radial, tri thermique et mélange incomplet.;GC-008|GC-009|GC-012;SRC-GC-014|SRC-GC-015|SRC-GC-016|SRC-GC-025|SRC-GC-027|SRC-GC-030|SRC-GC-031|SRC-GC-034|SRC-GC-040;isotopes de météorites/échantillons + modèles concurrents;archive historique reconstruite;supports_history_dependent_disk_structure;"Les hétérogénéités isotopiques sont réelles; leur mécanisme exact n’est pas unique.";Un disque parfaitement homogénéisé effacerait les contrastes nucléosynthétiques persistants.;Le modèle 2026 d’infall tardif >30 % est une interprétation spécifique et non un fait brut universel.
C-GC-05;La composition et le régime thermique conditionnent-ils quels solides deviennent accessibles ?;Condensation/évaporation dépendantes de T, P et composition.;GC-010|GC-011|GC-012;SRC-GC-008|SRC-GC-009|SRC-GC-017|SRC-GC-032|SRC-GC-039;thermodynamique + échantillons datés;modèle mécanistique contraint;supports_model;Le cadre de condensation relie inventaire et état global aux phases solides possibles.;Retirer les éléments réfractaires de la composition ferme leurs condensats minéraux.;"Aucun calcul d’équilibre complet nouveau n’est exécuté dans cette branche; les références externes font autorité."
C-GC-06;Les CAI et chondres enregistrent-ils une succession de transformations du disque ?;Condensation/fusion, remaniement et chronométrie des solides.;GC-011|GC-012;SRC-GC-017|SRC-GC-018;géochronologie et pétrologie;directe sur archives solides;supports_historical_record;Les solides primitifs enregistrent des événements distincts dans le temps.;Un seul événement instantané et sans remaniement ne reproduirait pas la diversité des âges/textures.;Le mécanisme de chauffage des chondres n’est pas unique.
C-GC-07;La concentration collective des solides peut-elle ouvrir la formation gravitationnelle de planétésimaux ?;Streaming/turbulence → surdensité → auto-gravité.;GC-014|GC-015|GC-016;SRC-GC-019|SRC-GC-020|SRC-GC-032|SRC-GC-034;simulation mécanistique;modèle causal;supports_model;Cohérent avec H011 du dépôt, ratio de seuil 3,33 entre conditions comparées.;Modifier turbulence/rapport solides-gaz change le seuil de concentration.;La réalisation historique exacte dans le disque solaire n’est pas observée directement.
C-GC-08;Le temps d’accrétion et l’inventaire de 26Al modifient-ils le destin thermique des petits corps ?;Décroissance 26Al → chauffage dont l’intensité dépend du temps et de l’inventaire initial.;GC-003|GC-017|GC-018;SRC-GC-018|SRC-GC-021|SRC-GC-036;chronométrie isotopique + modèles thermiques;archive + mécanisme physique;supports_history_changes_future_fate;Exemple fort de variable historique qui change l’accès à fusion/différenciation.;À corps comparable, retarder l’accrétion réduit l’énergie 26Al restante.;"Le 26Al initial peut être spatialement hétérogène; pas de valeur canonique imposée à tous les réservoirs."
C-GC-09;Des signatures isotopiques permettent-elles de reconnaître des stades de croissance planétaire ?;Chronomètres Hf-W-Th et fractionnements pendant accrétion/différenciation.;GC-018|GC-019|GC-020;SRC-GC-021|SRC-GC-033|SRC-GC-037|SRC-GC-041;chronométrie isotopique;reconstruction;supports_reconstruction;Mars est cohérent avec une croissance rapide et un statut d’embryon préservé.;Une croissance tardive prolongée donne une évolution isotopique différente dans le modèle.;Dépend des hypothèses de fractionnement et du modèle de croissance.
C-GC-10;Une formation unique du Système solaire est-elle déjà identifiée ?;Comparaison Grand Tack, Nice, disque structuré, anneaux de planétésimaux, accrétion de galets.;GC-020|GC-021|GC-022|GC-023;SRC-GC-022|SRC-GC-023|SRC-GC-024|SRC-GC-025|SRC-GC-026|SRC-GC-027|SRC-GC-031|SRC-GC-032|SRC-GC-033|SRC-GC-034|SRC-GC-041;modèles concurrents + archives cosmochimiques;indirecte;open_multiple_models;Plusieurs mécanismes reproduisent des sous-ensembles des contraintes.;Comparer les observables discriminantes de chaque scénario.;Aucun modèle n’est ici certifié comme histoire unique menant exactement aux IC J2000 de C-AST.
C-GC-11;L’architecture actuelle du Système solaire a-t-elle une efficacité causale mesurée en aval ?;Interventions sur masse/axe de Jupiter/Saturne dans C-AST.;GC-023;;certification ORI-C existante;modèle causal aval;linked_to_C_AST_13_of_15_E4_model;Le résultat certifié C-AST reste inchangé et sert de point aval.;Déjà réalisé dans C-AST.;Ne prouve pas comment l’architecture actuelle s’est formée.
C-GC-12;La chaîne nucléosynthèse stellaire → architecture actuelle est-elle fermée quantitativement de bout en bout ?;Handoff entre modèles d’enrichissement, disque, formation planétaire et IC N-corps actuelles.;GC-001|GC-023;SRC-GC-001|SRC-GC-014|SRC-GC-026;audit de fermeture;n/a;open_not_certified;La branche documente et quantifie plusieurs maillons mais refuse le saut vers une preuve end-to-end.;Un vrai succès exigerait une sortie formation-planétaire qui reproduit les observables et fournit les IC du modèle aval avec incertitudes.;Le handoff formation → C-AST reste le verrou principal.
