claim_id,mechanism,verdict,record_ids,supporting_empirical_claim_ids,scope
C-GC-Q01,baseline_primordiale_observationnelle,supports_observed_primordial_baseline,M001;M002,C-GC-E01,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q02,produits_stellaires_observes,supports_direct_stellar_products,M005;M006,C-GC-E01,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q03,poussiere_stellaire_persistante,supports_observed_stellar_dust,M059;M060;M061;M062,C-GC-E02,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q04,grains_presolaires_repliques,supports_direct_presolar_inheritance,M018;M019;M020;M063;M064;M065;M066;M067;M071,C-GC-E03,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q05,traitement_prestellaire_mesure,supports_observed_prestellar_processing,M009;M010;M012,C-GC-E04,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q06,transfert_nuage_disque_observe,supports_observed_cloud_disk_supply,M013,C-GC-E05,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q07,continuite_moleculaire_observationnelle,supports_observational_molecular_inheritance,M014;M016;M017;M074;M075,C-GC-E06,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q08,heterogeneite_nebulaire_mesuree,supports_measured_nebular_heterogeneity,M026;M027;M028;M030;M031;M032,C-GC-E08,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q09,chronologie_solides_mesuree,supports_measured_solid_chronology,M033;M034;M035;M036;M038,C-GC-E10;C-GC-E12,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q10,mecanismes_granulaires_mesures,supports_laboratory_dust_mechanisms,M041;M042;M043,C-GC-E11,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q11,sequence_disque_protoplanetes_observee,supports_observed_disk_protoplanet_sequence,M048;M050;M055;M076,C-GC-E13,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
C-GC-Q12,endpoint_sans_histoire_orbitale_unique,open_unique_orbital_history_empirical_only,M056;M057;M058,C-GC-E14;C-GC-E16,"Synthèse quantitative dérivée exclusivement de mesures réelles déjà admises par le pare-feu empirique; aucune simulation, donnée synthétique ou imputation."
