claim_id,verdict,directness,mechanism,stages,source_ids,scope
C-GC-E01,supports_empirical_enrichment_sequence,direct_observation_plus_observational_reconstruction,composition_available_changes_across_cosmic_history,GC-E00;GC-E01,S001;S002;S003;S004,Contraste empirique entre abondances primordiales reconstruites depuis spectres et noyaux produits par des étoiles/explosions détectés directement; aucune table de rendement théorique n’est utilisée.
C-GC-E02,supports_observed_stellar_dust_formation,same_object_astronomical_observation,stellar_ejecta_produce_persistent_solid_dust,GC-E01;GC-E02,S003;S029,SN1987A fournit un cas observationnel où les produits de l’explosion et une grande masse de poussière froide sont mesurés dans les éjecta. La masse est issue de la photométrie publiée; aucun rendement simulé n’est utilisé.
C-GC-E03,supports_replicated_direct_material_inheritance,multi_mission_returned_sample_direct_measurement,stellar_material_survives_as_presolar_grains,GC-E02;GC-E03,S010;S030;S031,"Transmission matérielle directe observée indépendamment dans Bennu, Ryugu et Wild 2. Le total de grains est un minimum de détections des études citées, pas une abondance combinée comparable."
C-GC-E04,supports_pre_stellar_material_processing,direct_astronomical_observation,ice_inventory_and_grain_growth_precede_protostar,GC-E04,S005;S006,"Analogue astrophysique de l’amont de systèmes planétaires, pas observation du nuage protosolaire historique."
C-GC-E05,supports_observed_cloud_to_disk_supply,replicated_direct_astronomical_observation,large_scale_material_stream_feeds_disk_scales,GC-E05,S007;S036,Deux systèmes protostellaires indépendants montrent des streamers à l’échelle de milliers d’au. Cela réplique l’existence physique du canal d’apport sans reconstruire l’histoire particulière du Soleil.
C-GC-E06,supports_observational_molecular_inheritance,cross_system_observational_consistency,molecular_and_isotopic_signatures_survive_across_formation_stages,GC-E04;GC-E06,S008;S009;S033,V883 Ori/67P testent la continuité isotopique de l’eau; TW Hya apporte une détection indépendante de CH3OH. Les abondances modélisées de TW Hya sont exclues.
C-GC-E07,supports_observed_refractory_solid_formation,direct_astronomical_observation_plus_same_object_time_domain_contrast,hot_gas_and_crystalline_refractory_solids_are_observed_and_crystalline_state_changes_with_burst,GC-E07,S024;S034,HOPS-315 fournit une détection de solides réfractaires dans un jeune disque. EC 53 ajoute un contraste temporel du même objet: forstérite et enstatite sont absentes en quiescence et détectées pendant le burst. Les modèles de transport restent exclus.
C-GC-E08,supports_persistent_nebular_heterogeneity,returned_sample_and_meteorite_measurements,isotopic_reservoirs_and_time_order_are_recorded_in_solids,GC-E08;GC-E10,S011;S012;S013;S014;S015;S016,Les causes dynamiques exactes de la séparation NC/CC et de l’hétérogénéité ne sont pas imposées.
C-GC-E09,supports_empirical_solar_disk_material_redistribution,returned_sample_mineralogy_and_isotopes,high_temperature_and_presolar_material_coexist_in_outer_comet,GC-E09,S031;S032,La coexistence de stardust et de matériaux réfractaires/haute température dans Wild 2 soutient un mélange/transport à grande échelle. Aucun scénario dynamique ni distance de transport n’est calculé ici.
C-GC-E10,supports_measured_early_solar_chronology,meteoritic_chronometry,absolute_PbPb_ages_record_time_order_and_duration,GC-E10,S016,Âges Pb-Pb U-corrigés mesurés sur inclusions et chondres; aucune horloge synthétique n’est utilisée.
